arr_bv;nb_procuration;nb_inscrit;nb_emargement;nb_votant;nb_vote_blanc;nb_vote_nul;nb_exprime;arthaud_nathalie;roussel_fabien;macron_emmanuel;lassalle_jean;le_pen_marine;zemmour_eric;melenchon_jean_luc;hidalgo_anne;jadot_yannick;pecresse_valerie;poutou_philippe;dupont_aignan_nicolas;extreme_gauche;gauche;centre;droite;extreme_droite;ecologie
1;617.0;11088.0;8739.0;8742;84.0;26.0;8632.0;12;104.0;3715.0;94.0;508.0;801.0;1832.0;187.0;631.0;643;28.0;77.0;1976.0;187.0;94.0;4358.0;1386.0;631.0
2;790.0;13997.0;10989.0;10994;108.0;23.0;10863.0;16;156.0;4728.0;111.0;476.0;762.0;2698.0;265.0;952.0;573;37.0;89.0;2907.0;265.0;111.0;5301.0;1327.0;952.0
3;1209.0;22378.0;17720.0;17722;154.0;53.0;17515.0;44;281.0;7557.0;177.0;661.0;1045.0;4557.0;441.0;1655.0;927;78.0;92.0;4960.0;441.0;177.0;8484.0;1798.0;1655.0
4;1042.0;18592.0;14777.0;14775;152.0;39.0;14584.0;24;251.0;6031.0;158.0;730.0;1231.0;3445.0;375.0;1225.0;895;79.0;140.0;3799.0;375.0;158.0;6926.0;2101.0;1225.0
5;2033.0;37711.0;30592.0;30597;323.0;78.0;30196.0;73;545.0;11722.0;368.0;1344.0;2374.0;7867.0;715.0;2624.0;2148;148.0;268.0;8633.0;715.0;368.0;13870.0;3986.0;2624.0
6;1739.0;26799.0;21808.0;21811;162.0;58.0;21591.0;34;255.0;10282.0;269.0;864.0;2272.0;3280.0;358.0;1519.0;2190;66.0;202.0;3635.0;358.0;269.0;12472.0;3338.0;1519.0
7;1942.0;33194.0;27082.0;27083;209.0;70.0;26804.0;28;214.0;12991.0;340.0;1412.0;3731.0;2609.0;275.0;1294.0;3626;64.0;220.0;2915.0;275.0;340.0;16617.0;5363.0;1294.0
8;1311.0;25070.0;20037.0;20037;150.0;65.0;19822.0;17;130.0;9268.0;229.0;1082.0;3035.0;2289.0;203.0;997.0;2372;51.0;149.0;2487.0;203.0;229.0;11640.0;4266.0;997.0
9;2383.0;40253.0;32949.0;32950;335.0;79.0;32536.0;60;450.0;14231.0;346.0;1303.0;2367.0;7644.0;711.0;3065.0;1957;126.0;276.0;8280.0;711.0;346.0;16188.0;3946.0;3065.0
10;3225.0;56385.0;44244.0;44244;410.0;147.0;43687.0;114;782.0;13747.0;397.0;1852.0;2281.0;16797.0;1163.0;4525.0;1463;264.0;302.0;17957.0;1163.0;397.0;15210.0;4435.0;4525.0
11;4845.0;94136.0;74888.0;74939;780.0;220.0;73939.0;202;1452.0;24279.0;718.0;3161.0;3688.0;26812.0;2153.0;7577.0;2885;477.0;535.0;28943.0;2153.0;718.0;27164.0;7384.0;7577.0
12;3643.0;92616.0;73017.0;73030;850.0;292.0;71888.0;208;1406.0;23589.0;904.0;4330.0;5103.0;22871.0;2006.0;6179.0;4105;460.0;727.0;24945.0;2006.0;904.0;27694.0;10160.0;6179.0
13;3700.0;112061.0;87280.0;87295;1089.0;443.0;85763.0;359;1980.0;25690.0;1183.0;5693.0;5371.0;30984.0;2368.0;6375.0;4161;634.0;965.0;33957.0;2368.0;1183.0;29851.0;12029.0;6375.0
14;3481.0;85743.0;67573.0;67578;713.0;241.0;66624.0;216;1311.0;23352.0;869.0;3823.0;4444.0;20036.0;1672.0;5699.0;4137;382.0;683.0;21945.0;1672.0;869.0;27489.0;8950.0;5699.0
15;6495.0;146345.0;115772.0;115780;1171.0;385.0;114224.0;256;1549.0;45986.0;1536.0;7194.0;11181.0;23531.0;2189.0;7972.0;11102;413.0;1315.0;25749.0;2189.0;1536.0;57088.0;19690.0;7972.0
16;4751.0;99344.0;78407.0;78473;592.0;237.0;77644.0;73;457.0;36301.0;796.0;4501.0;13572.0;7006.0;600.0;2790.0;10726;157.0;665.0;7693.0;600.0;796.0;47027.0;18738.0;2790.0
17;4729.0;103032.0;82310.0;82342;826.0;277.0;81239.0;132;856.0;34405.0;943.0;4283.0;8843.0;16651.0;1301.0;5378.0;7454;268.0;725.0;17907.0;1301.0;943.0;41859.0;13851.0;5378.0
18;4894.0;109842.0;83459.0;83465;898.0;348.0;82219.0;255;1528.0;23868.0;814.0;4169.0;3849.0;34288.0;1968.0;7370.0;2849;583.0;678.0;36654.0;1968.0;814.0;26717.0;8696.0;7370.0
19;3643.0;108745.0;79304.0;79323;757.0;377.0;78189.0;325;1489.0;18662.0;757.0;4140.0;5378.0;36368.0;1766.0;5621.0;2507;551.0;625.0;38733.0;1766.0;757.0;21169.0;10143.0;5621.0
20;4415.0;117021.0;89420.0;89449;983.0;361.0;88105.0;361;1988.0;20887.0;935.0;4897.0;4460.0;41559.0;2112.0;6759.0;2637;699.0;811.0;44607.0;2112.0;935.0;23524.0;10168.0;6759.0
